0,wage,educ,black,lwage,,,
0,769,12,0,6.645091,,,
1,808,18,0,6.694562,,,
2,825,14,0,6.7153835,,,
3,650,12,0,6.4769726,,,
4,562,11,0,6.331502,,,
5,1400,16,1,7.2442274,,,
6,600,10,0,6.3969297,,,
7,1081,18,0,6.985642,,,
8,1154,15,0,7.0509896,,,
9,1000,12,0,6.9077554,,,
10,930,18,0,6.8351846,,,
11,921,14,0,6.82546,,,
12,900,15,0,6.802395,,,
13,1318,16,0,7.183871,,,
14,1792,16,0,7.4910874,,,
15,958,10,0,6.8648477,,,
16,1360,15,0,7.21524,,,
17,850,11,0,6.7452364,,,
18,830,14,0,6.7214255,,,
19,471,12,0,6.154858,,,
20,1275,14,0,7.1507015,,,
21,1615,16,0,7.38709,,,
22,873,12,0,6.7719355,,,
23,2137,16,0,7.667158,,,
24,1053,16,0,6.9593987,,,
25,1602,16,0,7.3790083,,,
26,1188,13,0,7.0800266,,,
27,800,18,0,6.684612,,,
28,1417,17,0,7.256297,,,
29,635,18,0,6.453625,,,
30,1000,12,0,6.9077554,,,
31,1424,14,0,7.261225,,,
32,2668,13,0,7.8890843,,,
33,666,18,0,6.50129,,,
34,1779,17,0,7.4838066,,,
35,782,13,0,6.6618547,,,
36,1572,14,1,7.360104,,,
37,1274,13,0,7.1499166,,,
38,714,16,0,6.570883,,,
39,1081,18,0,6.985642,,,
40,692,12,0,6.539586,,,
41,1318,17,0,7.183871,,,
42,1239,12,0,7.12206,,,
43,1027,13,0,6.934397,,,
44,1748,18,0,7.4662275,,,
45,981,14,0,6.8885727,,,
46,770,17,0,6.6463904,,,
47,1154,16,0,7.0509896,,,
48,1155,12,0,7.0518556,,,
49,808,13,0,6.694562,,,
50,1100,12,0,7.0030656,,,
51,1154,18,0,7.0509896,,,
52,1749,12,0,7.4667993,,,
53,1000,16,0,6.9077554,,,
54,462,12,0,6.135565,,,
55,769,18,0,6.645091,,,
56,875,16,0,6.774224,,,
57,1375,12,0,7.226209,,,
58,1452,17,0,7.2806973,,,
59,800,12,0,6.684612,,,
60,1748,17,0,7.4662275,,,
61,1151,12,0,7.0483866,,,
62,840,12,0,6.733402,,,
63,978,12,0,6.8855095,,,
64,963,12,0,6.8700533,,,
65,619,12,0,6.4281054,,,
66,442,12,0,6.09131,,,
67,600,15,0,6.3969297,,,
68,1366,12,0,7.219642,,,
69,1643,18,0,7.404279,,,
70,1455,16,0,7.282761,,,
71,2310,18,0,7.7450027,,,
72,1682,16,0,7.4277387,,,
73,1235,12,0,7.1188264,,,
74,855,16,0,6.7511015,,,
75,1072,16,0,6.9772816,,,
76,1040,15,0,6.946976,,,
77,1000,12,0,6.9077554,,,
78,675,15,0,6.514713,,,
79,1100,12,0,7.0030656,,,
80,996,12,0,6.903747,,,
81,732,10,0,6.5957804,,,
82,1200,11,0,7.090077,,,
83,1694,15,0,7.434848,,,
84,686,10,0,6.5308776,,,
85,754,13,0,6.6253924,,,
86,857,10,0,6.753438,,,
87,832,13,0,6.7238326,,,
88,579,13,0,6.3613024,,,
89,672,12,0,6.510258,,,
90,2500,15,0,7.824046,,,
91,1076,12,0,6.9810057,,,
92,750,12,1,6.6200733,,,
93,1186,17,0,7.0783415,,,
94,833,16,0,6.7250338,,,
95,650,12,1,6.4769726,,,
96,1250,12,0,7.130899,,,
97,1122,15,0,7.022868,,,
98,865,16,0,6.7627296,,,
